iter	Passed	Remaining
471	679	760
472	680	758
473	681	756
474	682	754
475	683	752
476	684	750
477	685	748
478	686	747
479	687	745
480	688	743
481	689	741
482	690	739
483	692	737
484	693	736
485	694	734
486	695	732
487	696	731
488	698	729
489	699	727
490	700	725
491	701	723
492	702	722
493	703	720
494	704	718
495	705	716
496	706	714
497	707	712
498	708	711
499	709	709
500	710	707
501	711	705
502	712	704
503	713	702
504	714	700
505	715	698
506	716	696
507	717	695
508	718	693
509	720	691
510	721	690
511	722	688
512	724	687
513	725	685
514	726	683
515	727	682
516	728	680
517	729	678
518	730	677
519	731	675
520	732	673
521	733	672
522	734	670
523	735	668
524	736	666
525	737	664
526	739	663
527	740	661
528	741	659
529	742	658
530	743	657
531	745	655
532	746	654
533	748	652
534	749	651
535	750	649
536	751	648
537	753	646
538	754	644
539	755	643
540	756	641
541	757	640
542	758	638
543	759	636
544	760	634
545	761	633
546	762	631
547	763	629
548	764	628
549	765	626
550	767	625
551	768	623
552	769	621
553	770	620
554	771	618
555	772	616
556	773	615
557	774	613
558	775	611
559	776	610
560	777	608
561	778	606
562	779	605
563	780	603
564	781	601
565	782	600
566	783	598
567	784	596
568	785	595
569	786	593
570	787	591
571	788	589
572	789	588
573	790	586
574	791	585
575	793	583
576	794	582
577	795	580
578	797	579
579	798	577
580	799	576
581	800	574
582	801	573
583	802	571
584	803	570
585	805	568
586	806	567
587	807	565
588	808	563
589	809	562
590	810	560
591	811	559
592	812	557
593	813	556
594	814	554
595	815	552
596	816	551
597	818	549
598	819	548
599	820	547
600	821	545
601	822	543
602	823	542
603	825	540
604	826	539
605	828	538
606	829	537
607	830	535
608	832	534
609	833	533
610	835	531
611	837	530
612	838	529
613	840	528
614	841	527
615	843	525
616	844	524
617	845	522
618	847	521
619	848	520
620	849	518
621	851	517
622	852	516
623	854	514
624	855	513
625	857	512
626	858	510
627	860	509
628	861	508
629	863	506
630	864	505
631	866	504
632	867	502
633	868	501
634	869	500
635	871	498
636	872	497
637	873	495
638	875	494
639	876	493
640	877	491
641	879	490
642	880	488
643	881	487
644	883	486
645	885	485
646	886	483
647	887	482
648	888	480
649	890	479
650	891	477
651	893	476
652	894	475
653	895	473
654	896	472
655	898	470
656	899	469
657	900	467
658	901	466
659	902	464
660	903	463
661	905	462
662	906	460
663	908	459
664	909	458
665	911	456
666	912	455
667	913	453
668	914	452
669	915	450
670	916	449
671	917	448
672	919	446
673	920	445
674	921	443
675	922	442
676	923	440
677	925	439
678	926	437
679	927	436
680	928	434
681	929	433
682	930	431
683	931	430
684	933	429
685	934	427
686	936	426
687	937	425
688	939	423
689	940	422
690	941	421
691	942	419
692	943	418
693	944	416
694	946	415
695	947	413
696	948	412
697	949	410
698	950	409
699	951	407
700	952	406
701	953	404
702	954	403
703	955	401
704	956	400
705	958	399
706	960	398
707	961	396
708	962	395
709	963	393
710	964	392
711	965	390
712	966	389
713	967	387
714	968	386
715	969	384
716	970	383
717	971	381
718	973	380
719	974	378
720	975	377
721	976	375
722	977	374
723	978	372
724	979	371
725	980	369
726	981	368
727	982	367
728	983	365
729	985	364
730	986	363
731	987	361
732	988	360
733	989	358
734	990	357
735	991	355
736	992	354
737	993	352
738	994	351
739	995	349
740	996	348
741	997	346
742	999	345
743	1000	344
744	1001	342
745	1002	341
746	1003	339
747	1004	338
748	1005	336
749	1006	335
750	1007	333
751	1008	332
752	1009	331
753	1010	329
754	1012	328
755	1013	327
756	1014	325
757	1015	324
758	1016	322
759	1017	321
760	1018	319
761	1019	318
762	1020	316
763	1021	315
764	1022	314
765	1023	312
766	1024	311
767	1025	309
768	1026	308
769	1027	307
770	1028	305
771	1030	304
772	1031	302
773	1032	301
774	1033	300
775	1034	298
776	1036	297
777	1037	296
778	1038	294
779	1040	293
780	1041	291
781	1042	290
782	1043	289
783	1044	287
784	1045	286
785	1046	284
786	1047	283
787	1048	282
788	1050	280
789	1051	279
790	1052	278
791	1053	276
792	1054	275
793	1055	273
794	1057	272
795	1058	271
796	1059	269
797	1061	268
798	1062	267
799	1063	265
800	1065	264
801	1066	263
802	1067	261
803	1068	260
804	1069	259
805	1070	257
806	1071	256
807	1072	254
808	1074	253
809	1075	252
810	1076	250
811	1077	249
812	1079	248
813	1080	247
814	1082	245
815	1083	244
816	1084	243
817	1086	241
818	1099	243
819	1101	241
820	1102	240
821	1103	238
822	1104	237
823	1105	236
824	1106	234
825	1107	233
826	1108	231
827	1110	230
828	1111	229
829	1112	227
830	1113	226
831	1114	225
832	1116	223
833	1117	222
834	1118	221
835	1119	219
836	1120	218
837	1121	216
838	1122	215
839	1123	214
840	1125	212
841	1126	211
842	1127	209
843	1128	208
844	1129	207
845	1130	205
846	1131	204
847	1132	202
848	1133	201
849	1134	200
850	1135	198
851	1137	197
852	1138	196
853	1139	194
854	1140	193
855	1141	192
856	1143	190
857	1144	189
858	1145	188
859	1146	186
860	1148	185
861	1149	184
862	1150	182
863	1152	181
864	1153	180
865	1154	178
866	1155	177
867	1157	175
868	1158	174
869	1159	173
870	1161	171
871	1162	170
872	1163	169
873	1164	167
874	1166	166
875	1167	165
876	1168	163
877	1169	162
878	1170	161
879	1171	159
880	1173	158
881	1174	157
882	1175	155
883	1177	154
884	1178	153
885	1180	151
886	1182	150
887	1184	149
888	1185	148
889	1187	146
890	1188	145
891	1189	144
892	1191	142
893	1192	141
894	1193	140
895	1194	138
896	1195	137
897	1197	135
898	1198	134
899	1200	133
900	1202	132
901	1203	130
902	1205	129
903	1206	128
904	1207	126
905	1208	125
906	1210	124
907	1211	122
908	1212	121
909	1213	120
910	1214	118
911	1216	117
912	1217	115
913	1218	114
914	1219	113
915	1220	111
916	1221	110
917	1223	109
918	1224	107
919	1226	106
920	1227	105
921	1229	103
922	1230	102
923	1231	101
924	1232	99
925	1234	98
926	1235	97
927	1237	95
928	1238	94
929	1239	93
930	1240	91
931	1242	90
932	1243	89
933	1244	87
934	1246	86
935	1247	85
936	1249	83
937	1251	82
938	1252	81
939	1253	80
940	1254	78
941	1256	77
942	1257	76
943	1259	74
944	1260	73
945	1261	72
946	1263	70
947	1264	69
948	1265	68
949	1267	66
950	1268	65
951	1269	64
952	1271	62
953	1272	61
954	1273	60
955	1275	58
956	1277	57
957	1279	56
958	1280	54
959	1281	53
960	1283	52
961	1284	50
962	1285	49
963	1286	48
964	1288	46
965	1289	45
966	1290	44
967	1292	42
968	1293	41
969	1294	40
970	1296	38
971	1297	37
972	1298	36
973	1300	34
974	1301	33
975	1302	32
976	1303	30
977	1305	29
978	1306	28
979	1307	26
980	1309	25
981	1310	24
982	1311	22
983	1313	21
984	1314	20
985	1315	18
986	1317	17
987	1318	16
988	1320	14
989	1321	13
990	1322	12
991	1324	10
992	1325	9
993	1327	8
994	1328	6
995	1330	5
996	1331	4
997	1332	2
998	1333	1
999	1334	0
