iter	MAE
0	268.1003475
1	263.1896543
2	258.1394645
3	253.1912689
4	249.1732393
5	244.9765743
6	239.9749409
7	235.9410451
8	231.6452392
9	227.7762811
10	224.0368031
11	220.3529363
12	216.5410794
13	213.2357176
14	209.7210886
15	206.297335
16	203.2728532
17	199.9303592
18	196.7515618
19	194.1067489
20	190.6331755
21	187.8180959
22	185.4233146
23	183.0449912
24	181.6294536
25	179.6295401
26	177.5889128
27	175.3297951
28	173.4786055
29	171.2232994
30	169.4919843
31	167.622844
32	165.5323043
33	163.5591134
34	161.7243981
35	159.8253188
36	158.1030005
37	156.6490406
38	154.9297525
39	153.4831584
40	152.0074965
41	150.5684649
42	149.2456749
43	147.6661821
44	146.2569897
45	145.0664209
46	143.8100454
47	142.5053273
48	141.0731015
49	140.2414098
50	139.4557714
51	138.4934626
52	136.9349624
53	135.7301762
54	135.2003729
55	134.151134
56	133.2793948
57	132.1340722
58	131.2408797
59	130.4610947
60	129.3073433
61	128.2515072
62	127.3458466
63	125.9696909
64	125.2410942
65	124.3547223
66	123.5441383
67	123.0174893
68	122.1819074
69	121.3996309
70	121.023181
71	119.9561455
72	119.4109598
73	118.9722017
74	118.5031631
75	117.9785986
76	116.981162
77	116.3760371
78	115.9619606
79	115.2570239
80	114.6473199
81	114.0134178
82	113.5296975
83	113.3632138
84	112.7520305
85	111.949334
86	111.5622852
87	111.332785
88	110.9289048
89	110.4595071
90	109.7316467
91	109.3645445
92	109.1057162
93	108.5351498
94	108.1564009
95	107.7427962
96	107.2034591
97	106.608668
98	106.1463871
99	105.7259054
100	104.8958028
101	104.5045355
102	104.0350552
103	103.6048151
104	103.3316844
105	102.5693793
106	102.282019
107	101.8466898
108	101.5840074
109	101.1043804
110	100.7866789
111	100.569036
112	100.3097985
113	99.97676442
114	99.48655737
115	99.19677569
116	98.6050476
117	98.10012012
118	97.89504869
119	97.47215107
120	97.12426312
121	96.92465182
122	96.52626748
123	96.03021516
124	95.35823905
125	95.0266578
126	94.93969307
127	94.77675209
128	94.41975915
129	93.94100233
130	93.6020058
131	93.36082538
132	93.11427036
133	92.90072239
134	92.67483614
135	92.40670318
136	92.10077962
137	91.77102977
138	91.5285234
139	91.41445363
140	91.12222222
141	90.87444348
142	90.59203364
143	90.27779527
144	90.02817891
145	89.74932095
146	89.28881555
147	89.1623371
148	88.66674495
149	88.587885
150	88.17851436
151	87.94867331
152	87.69641302
153	87.41857432
154	87.2769799
155	87.02260125
156	86.64649205
157	86.38514349
158	86.22232082
159	85.99520582
160	85.84203165
161	85.74817025
162	85.5315728
163	85.39739525
164	85.16087678
165	84.96081752
166	84.78861714
167	84.68427096
168	84.63482418
169	84.51020195
170	84.37995791
171	84.00732821
172	83.75506919
173	83.47561085
174	83.33816695
175	83.13649365
176	82.77581321
177	82.60696921
178	82.29954716
179	82.10071915
180	81.85478067
181	81.74618704
182	81.57898461
183	81.31449843
184	81.10284473
185	80.97958597
186	80.9149961
187	80.66618675
188	80.52742178
189	80.44647228
190	80.34618505
191	80.23324272
192	80.12783193
193	79.87517027
194	79.71262748
195	79.5173067
196	79.43832071
197	79.00354174
198	78.76835621
199	78.61477459
